reward_trajectory_1,reward_trajectory_2,reward_trajectory_3,reward_trajectory_4,reward_trajectory_5,reward_trajectory_6,timestep,actor_loss,critic_loss
-93.35307758826251,-93.33363370693412,-92.71179269519541,-93.36443374775148,-91.99862576481452,-93.3864952707854,0,0.1968359351158142,12.677923202514648
-127.7941569355012,-127.08540309501751,-126.99942209476295,-127.38720587204892,-127.15967736777786,-127.32771118407014,400,0.6494506597518921,10.477372169494629
-100.14376826361256,-125.55316285536097,-125.64458894198948,-125.81667646669752,-125.35493507971087,-122.1276046729271,600,1.130960464477539,8.097075462341309
-114.94567004193055,-89.55452659175837,-88.74381603716772,-88.64473151271838,-81.53949714897041,-86.93527438022862,800,1.648766279220581,6.492703437805176
-98.95746141454018,-49.22410059476122,-48.954613815168806,-148.45645683364245,-48.45721808280819,-30.072908467335303,1000,2.275005340576172,4.47310733795166
-121.88202475038543,-105.72618793048167,-99.82633102611794,-116.10886288570178,-122.2190161526582,-118.6490013868784,1200,2.8508129119873047,3.0391297340393066
-105.57236346933338,-101.23504041672994,-95.21046263936115,-97.01339285808041,-94.58201519015805,-95.40809337024794,1400,3.0561654567718506,2.369518756866455
-112.56250434252682,-112.75651552642634,-113.47341370551723,-111.87666271666406,-114.57835639194663,-113.24281190820597,1600,3.0176732540130615,1.3578550815582275
-112.88540286665346,-112.90570957387774,-112.92102865776684,-112.9347064254994,-112.91965467004843,-112.97299561322326,1800,2.751713275909424,0.9229512810707092
-109.06508006524729,-109.4046657294271,-109.09522082614791,-109.07903548549612,-108.88054968663585,-109.15074768478982,2000,2.5043387413024902,0.8789159059524536
-110.29687920922973,-110.47605769834047,-110.48215139132986,-110.49405606165217,-110.31037494757462,-110.58910786310025,2200,2.2648568153381348,1.045609951019287
-115.70571828272256,-115.83241270873998,-114.65086777176278,-116.25038057701042,-115.79662608341756,-115.67959900953636,2400,2.132314682006836,1.529595136642456
-110.1024297261027,-110.00679404577178,-110.01325657372176,-110.06027090933918,-110.12695112397421,-110.05857284092593,2600,2.0629706382751465,1.7117152214050293
-108.8062101464863,-108.73874555420724,-108.7632215196779,-109.27972422109079,-109.20585473251955,-109.2574678215307,2800,2.081022024154663,1.522530198097229
-108.34308650921348,-108.3261284362177,-108.43518970978135,-108.38651618814654,-108.39171012626697,-108.72321486867716,3000,2.1792943477630615,1.3361843824386597
-115.45741845371481,-115.42508855637287,-115.38958491483223,-115.48206736933828,-115.56035886298415,-115.4086744392182,3200,2.215144634246826,1.1775262355804443
-111.22613508535558,-111.95951499756279,-110.72575026227705,-112.20303875233814,-110.87384450740015,-108.49022550987048,3400,2.3760430812835693,0.660348117351532
-114.14046410935558,-114.10490136793078,-114.15035306423965,-114.181527982831,-114.47294085381988,-114.4286925196123,3600,2.4733612537384033,0.47901394963264465
-114.0301889644855,-114.1840575551341,-113.78442168121227,-114.02235821604589,-114.18629188941978,-113.99846427795788,3800,2.5518112182617188,0.2917853593826294
-111.76849895391605,-111.21046371272105,-111.70743165392243,-111.2187892118678,-111.70737480445602,-111.69930686059661,4000,2.534233331680298,0.24432560801506042
-117.31044115046102,-119.5323748067723,-117.38065162678436,-119.00933976192462,-119.08335241897365,-117.49248328594491,4200,2.4612667560577393,0.2426435649394989
-120.09477532563048,-120.79105679971663,-120.79257177065251,-120.10751474702607,-120.79527903630645,-120.79237932828318,4400,2.376481533050537,0.27462950348854065
-113.68222489594338,-113.59912829989237,-115.05792631138947,-112.79164964521676,-114.32553584071496,-112.79755723436548,4600,2.3509039878845215,0.2951209843158722
-115.16233976470268,-120.455153269186,-115.25354687592387,-115.02385603187078,-121.22078013178364,-125.75904726542292,4800,2.39367938041687,0.32859277725219727
-108.51274271329802,-108.9264384115742,-106.87657578626896,-109.36508956387826,-106.8881891972379,-106.89057600112383,5000,2.363676071166992,0.34750422835350037
-107.82462250179984,-107.83361748785774,-107.86003435326306,-107.85827292065943,-107.967715552954,-107.8344548367594,5200,2.4431540966033936,0.342697411775589
-109.59746479132492,-109.63306962268179,-110.44914918711471,-106.1487444204269,-106.65009673990289,-106.88185934141488,5400,2.4957404136657715,0.34480416774749756
-107.67403002589926,-107.87731522893145,-121.16764305359311,-120.87412822222151,-107.67032689275189,-119.79003012272963,5600,2.6081783771514893,0.24873238801956177
-107.47134472066475,-107.51279696633675,-107.46433585295267,-107.53237833526234,-107.46522180171684,-107.62687132030538,5800,2.5689897537231445,0.20098289847373962
-108.14408580883283,-108.20364242978984,-108.13861157946599,-108.12982493111957,-108.4732954954775,-108.23236467985281,6000,2.6163527965545654,0.14824625849723816
-110.58061872316338,-110.54587786448592,-109.88611510543572,-109.7931119512484,-109.88675322791188,-109.84785988698931,6200,2.4953784942626953,0.1422801911830902
-108.30306092116656,-108.3441646493364,-108.1720278818834,-108.2662000011139,-108.34570602872141,-108.19428537774397,6400,2.5257582664489746,0.10728298127651215
-110.05553517010404,-110.27900762896456,-109.45849771864806,-110.27867598040945,-109.82992271033861,-109.78648625710716,6600,2.5013341903686523,0.13457946479320526
-111.21976220883165,-111.21505013654024,-111.25246868831417,-110.05335289471375,-112.26508339166423,-109.7715104872308,6800,2.5512359142303467,0.14904281497001648
-110.91177844520371,-113.09204393110176,-113.8469302890487,-114.05506844904087,-110.55883422336642,-114.09115460974941,7000,2.581468343734741,0.1729108691215515
-107.19408522065403,-107.47056898605467,-107.17728369229752,-107.20168880873065,-107.19522203456626,-107.19756819903152,7200,2.5921621322631836,0.16379839181900024
-111.35302715232969,-109.73451111332949,-110.95015890253708,-108.85875803051454,-109.13268818738932,-110.97199564598624,7400,2.606132984161377,0.18991771340370178
-106.49212167540053,-106.46926437706252,-106.47902106163123,-108.6076914643064,-107.82006355611918,-115.79947757397018,7600,2.626680850982666,0.16634976863861084
-108.56818520139166,-108.4556521276574,-108.19607194286546,-105.68453331782142,-108.7904511859001,-108.31344039974175,7800,2.572384834289551,0.12644445896148682
-109.10837226345173,-109.14932678012069,-109.14367460306548,-109.49589721357705,-109.14878830288335,-109.13361283847783,8000,2.5982420444488525,0.11981964111328125
-105.21109591108063,-105.24990873140206,-105.2685409219535,-105.24248624303394,-105.27230138016803,-105.24764451643607,8200,2.6192433834075928,0.07947442680597305
-37.951192319712334,-34.75655963184212,-41.66538178307503,-121.30080827604482,-34.75422297233646,-34.118003141372114,8400,2.6704204082489014,0.06394103169441223
-108.9666380423829,-108.60230601425577,-108.27229407177772,-107.81647308554275,-108.34598221547289,-108.45128776775486,8600,2.673825979232788,0.07443617284297943
-115.0895005766009,-120.2216095153292,-108.98720645354254,-109.32441785494983,-109.33313725636403,-109.39363578366115,8800,2.6907827854156494,0.08428007364273071
-116.31333235941533,-110.7289940361438,-114.69568031659256,-115.19251174029894,-119.79042961295632,-108.85170181207971,9000,2.6641857624053955,0.07336317002773285
-110.14914960859235,-87.94255349881628,-108.50438216694475,-108.47026315262805,-114.5670993233857,-110.01786845258344,9200,2.6521027088165283,0.08283808827400208
