,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,timestep
0,15.0,14.0,13.0,12.0,13.0,12.0,0
1,19.0,17.0,18.0,17.0,18.0,17.0,1200
2,16.0,16.0,16.0,16.0,16.0,16.0,2200
3,27.0,31.0,31.0,32.0,33.0,32.0,3200
4,34.0,33.0,35.0,34.0,36.0,34.0,4200
5,89.0,103.0,114.0,85.0,90.0,89.0,5200
6,112.0,104.0,131.0,129.0,125.0,118.0,6200
7,99.0,101.0,97.0,96.0,100.0,99.0,7200
8,86.0,83.0,85.0,85.0,86.0,88.0,8200
9,80.0,90.0,82.0,83.0,86.0,84.0,9200
10,285.0,423.0,161.0,159.0,151.0,148.0,10200
11,319.0,337.0,101.0,212.0,355.0,342.0,11200
12,76.0,70.0,69.0,87.0,66.0,99.0,12200
13,119.0,143.0,76.0,130.0,152.0,92.0,13200
14,147.0,145.0,137.0,132.0,137.0,181.0,14200
15,80.0,94.0,89.0,77.0,95.0,94.0,15200
16,83.0,105.0,85.0,123.0,80.0,77.0,16200
17,70.0,91.0,50.0,91.0,94.0,131.0,17200
18,88.0,94.0,145.0,96.0,100.0,60.0,18200
19,92.0,89.0,85.0,98.0,94.0,99.0,19200
20,102.0,103.0,53.0,53.0,55.0,56.0,20000
